Publication Year,Author Keywords,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Autonomous vehicles (AVs);collaborative autonomous driving;digital twin (DT);edge computing;game theory,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,IoT;digital twin;rule conflicts;optimization of rules;connected vehicles,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Industrial Revolution;Big data;Artificial Intelligence (AI);IoT;Industry5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023,component;common information model;region model;monitoring patrol;measurement type;data fusion,,,,,,,,,,,,,,,,,,,,,,,,,
2021,automated terminal;smart port;Big Data;GIS;PIM;Digital Twin Model,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Metaverse;Security of metaverse;Privacy of metaverse;trusted ecosystem,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Metaverse;sensing-as-a-service;semantic communication;reverse auction,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Data mining;edge server placement;genetic search;Industrial Internet of Things (IIoT);mobile-edge computing,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital twin;energy efficiency;multiagent deep reinforcement learning (DRL);wireless computing power networks (WCPNs),,,,,,,,,,,,,,,,,,,,,,,,,
2019,Artificial intelligence;digital twin;human-computer interaction;Internet of Things;machine learning;sensor systems,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Decision support;urban agriculture;modelling;simulation;digital twin;Internet of Things;metaheuristics,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital twin;internet of things;micro grid;distributed power source;open source,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Metaverse;Edge Computing;Extended Reality;Augmented Reality;Virtual Reality;Blockchain.,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Intelligent Manufacturing;Artificial Intelligence;Metallurgical Industry;Intelligent Machine Tools;Digital Twins,,,,,,,,,,,,,,,,,,,,,,,,,
2020,pipeline;electromagnetics;propagation;measurements,,,,,,,,,,,,,,,,,,,,,,,,,
2021,digital transformation;productivity;efficiency;digital partnering;construction industry,,,,,,,,,,,,,,,,,,,,,,,,,
2021,manipulators;motion simulator;classic washout filter;Internet of Things;mobile applications;accelerometers;motion measurements;electromechanical sensors;Node-RED;Digital twin,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Mobile edge computing;deep reinforcement learning;computation offloading;resource allocation;task relevance,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Internet of Things (IoT);Predictive Maintenance;Data Fusion;IoT Security,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital Twin;Distributed Model Sharing;Knowledge Distillation;Network Calculus;Multi-Robot System,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital twin;federated learning;internet of medical things;privacy preservation;smart health care system,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Cascade detection system;feature sharing;Internet of Things (IoT);multiple applications;resource-aware optimization,,,,,,,,,,,,,,,,,,,,,,,,,
2022,i.MOSA;Internet of Things;IoT;Next Generation Test Systems;Flightline of the Future;Digital Depots;Maintenance of the Future;DoD;Digital Transformation,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Big data;Internet of things;Cyber-Physical Systems;Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Data visualization;Internet of Things;scalability;supercomputers,,,,,,,,,,,,,,,,,,,,,,,,,
2019,eHealth;Internet of Things (IoT);Assistive Technology (AT);sensor data analysis;visual interface;vital data monitoring;activity recognition;anomaly detection;position tracking;wearable devices,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Metaverse;IoT;Blockchain;Artificial Intelligence;Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital Shadow;Digital Twin;Ontology Based Data Access;Industrial Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2020,LIDAR;mapping;GIS;augmented reality,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;multi-AUG cooperative;AUG behavior;maritime communication;path planning,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Cyber--physical interaction;GlowScript;Internet of Things (IoT);scratch;smart learning environment (SLE),,,,,,,,,,,,,,,,,,,,,,,,,
2019,Digital twin;blockchain;Internet of Things (IoT);Fourth Industrial Revolution;startups;UAE;aerospace,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Virtualization;Digital Twins;Substation;Industrial Control Systems;Cybersecurity;Experiential Learning,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Artificial intelligence;deep learning;digital twin (DT);object detection;pose estimation;robot;simulation,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,energy efficiency;temperature mode;building thermal model;smart building;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Communication;Computing;Digital Twin;Aircraft Final Assembly;Heterogeneous Processes,,,,,,,,,,,,,,,,,,,,,,,,,
2022,IoT;Prehabilitation;Wearable sensor device;smart movement monitoring,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,metaverse;mHealth;mobile health;applications;medical metaverse;Internet of Medical Things,,,,,,,,,,,,,,,,,,,,,,,,,
2021,BIM server;building information modeling (BIM);digital maturity;digital twin;EBIM (Enterprise BIM);enterprise modeling;facility management;operation,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Big-data analytics;cloud computing;digitalization;digital twin;industry 4.0;Industry Internet of Things (IIoT);oil and gas industry;operator 4.0;virtual reality;wearable technologies,,,,,,,,,,,,,,,,,,,,,,,,,
2020,smart city;people with disabilities;elderly population;infrastructure;applications;digital twin,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Built environment;digitalization;IoT devices;data-driven service;sensor network,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Metaverse;blockchain;artificial intelligence;digital asset management;the Internet of Things;digital twin;VR/AR,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Information integration (II);space informatics;digital triad (DT-II);internet of digital-triad things (IoDTT);first-time right (FTR);space information integration (SII),,,,,,,,,,,,,,,,,,,,,,,,,
2020,IoT antenna;RFID antenna;industry 4.0;rugged antenna;ETSI,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Industrial Control and Automation Systems;Threats and Vulnerabilities in Industrial Control and Automation Systems;Industrial Cybersecurity standards and frameworks;Industrial Protocols,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Prognostics;RUL Estimation;Deep Learning;Long-short Term Memory;IIoT;Autoencoder,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Blockchain;digital twin;individualized manufacturing;Industrial Internet of Things (IIoT);smart contracts,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Bulk material handling equipment;mechatronics;adaptive design,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Engineering education;industry 4.0;industrial Internet of Things;IIoT;cyber-physical system,,,,,,,,,,,,,,,,,,,,,,,,,
2022,LSTM;Random Forest;Machine learning;Environmental data,,,,,,,,,,,,,,,,,,,,,,,,,
2022,sustainable development;twin numbers;life cycle;turbine machinery;simulation,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Network slicing;handoff;resource allocation;deep reinforcement learning;digital twin network,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Autonomous vehicles;driverless vehicles;human-on-the-loop (HOTL);haptics;humanin-the-loop (HITL);human–vehicle coactivity;self-driving;tactile Internet;teleoperation;digital twins;Internet of Vehicles (IoVs),,,,,,,,,,,,,,,,,,,,,,,,,
2020,Internet of Things;smart city;service discovery;open IoT ecosystem;communication standards,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Digital twin;virtual reality;robot control;mobile networks;network security,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Smart badge;Utilities Safety;Workforce;Utilities Services;Human Interface;Network Digital Twin®;COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Data;Healthcare;Risks Identification;Internet of Medical Things;medical organization;IoT;IoMT;Wireless Sensor Network;threats;digital twin;data protection;security;privacy;risk;models;system;information quality,,,,,,,,,,,,,,,,,,,,,,,,,
2020,IEEE council on radio-frequency identification;Internet of Things;cyber-physical social systems (CPSS);digital twins,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BIM;IoT;Smart building;Digital Twin;Air Quality Sensors,,,,,,,,,,,,,,,,,,,,,,,,,
2022,IoT;Marketing;Decision Making;Digital Twin Technology;Big Data;Analytics;Data Collection,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Cybersecurity;intelligent manufacturing systems;Industrial Internet of Things;industrial control system;cyber-physical systems;manufacturing execution systems,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Communication Systems;Cellular Mobile Network;Internet of Things;Cybersecurity;Digital Twin;User profiling;5G,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Virtual Prototyping;Digital Twin;Automotive;Electronics;Software Process;Simulation;Security,,,,,,,,,,,,,,,,,,,,,,,,,
2022,disconnector;online monitoring;model;geographical region;digital twin,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Cyber–physical–social systems;deep Q-leaning networks;emergency evacuation;metaverse;three-dimensional (3-D) simulation;virtual reality,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Tokens;CPS;Monetization;Blockchain;Distributed Ledger;DLT;Cryptography;IoT;Harmonization;Interoperability;Decentralized Finance;DeFi;Industry 4.0;Sustainability,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital models;earthmoving;equipment productivity;mobile equipment;emerging;technologies;tracking;sensing,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Intelligent manufacturing system;Input explosion;Public,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Smart Grids;Demand Side Management;Technological Innovation;the Normalizer of AC Voltage;Resource Consumption Management;Machine-to-Machine Interaction;Distributed Control System;Industrial Internet of Things;Digital Twin,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Cyber–physical systems;digital twin;industrial internet;Industry 4.0;Internet of Things (IoT);wearables,,,,,,,,,,,,,,,,,,,,,,,,,
2022,IoT;sensor;digital twin;deep learning;structural health monitoring,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Healthcare;Digital Twins;Deep Learning;Random Forest Algorithm;Clinical Data,,,,,,,,,,,,,,,,,,,,,,,,,
2022,6G;AI;DT;SAGIN;NTN;Network architecture,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Deterministic communication;Time Sensitive Networking (TSN);digital twin;smart healthcare,,,,,,,,,,,,,,,,,,,,,,,,,
2021,security training;cyber range;security assurance;learning path;security assessment;smart energy;smart shipping;healthcare,,,,,,,,,,,,,,,,,,,,,,,,,
2021,maturity status;data-intensive;artificial intelligence and internet of things;current-future changing rate,,,,,,,,,,,,,,,,,,,,,,,,,
2021,time series;imputation;ocean;environment;model management,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Teleoperating;IoT;Web Application;Food Industry,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,real-time synchronization;digital twins;cyber-physical system;embedded systems;internet-of-things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,communication technologies;edge computing;internet-of-things;smart villages,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Telerehabilitation;upper limb;end effector;IIoT;augmented reality;teleoperation;robotic arm,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Concept drift;health index (HI);hidden Markov model;Industrial Internet of Things (IIoT);machine learning;novelty detection;predictive maintenance;remaining useful life (RUL),,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digital twin;digital transformation;COVID 19,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,smart environments;internet of things;dynamics modelling;digital twin;simulation;smart city;noise pollution,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Agriculture 4.0;Precision Agriculture;Cyber Physical System;Internet of Things;Digital Twin;Machine Learning;Sensors,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Self-Improving System Integration;Self-Awareness;Novelty Detection;Anomaly Detection;Online Clustering;SISSY,,,,,,,,,,,,,,,,,,,,,,,,,
2022,IoT;Metaverse;Education,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Short group signatures;conditional privacy;revocation;forward secrecy;backward secrecy;elliptic curve caching;VANET;timed key updates,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Metaverse;resource allocation;IoT;evolutionary game;hybrid dynamics,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Internet of Things;Sensor;Virtual Sensor;Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Varying Structure Automatic Systems;Intelligent Control;Interaction with environment;Digital Twin of a Smart Greenhouse,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Duffing equation;dynamic measurements;data-driven modeling;parameter identification;adaptive modeling;predictive modeling,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Raspberry Pi 3;Radio Frequency Identification;IoT;IIoT;smart inventory;TensorFlow;Deep Learning;Image Classification;Node-red;Camera;MQTT;AWS;Cloud;EC2 Console;Google Teachable Machine;Edge computing,,,,,,,,,,,,,,,,,,,,,,,,,
2021,communication network;transmission cable;sensor;intelligent monitoring device;inspection robot,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Automotive supply chain;complexity management;digital twin lifecycle management;hardware and software convergence;integrated hardware and software;smart products,,,,,,,,,,,,,,,,,,,,,,,,,
2021,usage control;ABAC;SDN;system security;cyber-physical systems;digital twin;simulation,,,,,,,,,,,,,,,,,,,,,,,,,
2021,5G;6G;artificial intelligence;blockchain;cell-free MIMO;digital twin;edge computing;holographic-type communications;Internet of Everything;Internet of Things;machine learning;mobile networks;non-terrestrial networks;optical wireless communications;O-RAN;tactile Internet;terahertz;visible light communications;wireless communications,,,,,,,,,,,,,,,,,,,,,,,,,
2023,AIoT;Cyber-Physical Systems;Domain-Specific Language;Model-Driven Engineering;ThingML,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Virtual Reality;Industrial robotics;virtual teaching;higher education;educational innovation,,,,,,,,,,,,,,,,,,,,,,,,,
2022,DLT;Distributed Ledger;Blockchain;E-Governance,,,,,,,,,,,,,,,,,,,,,,,,,
2022,6G networks;blockchain;optimization model;security;sharding design,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Artificial intelligence;blockchain;digital twin;drone transportation system;metaverse;NFT;security;UAV,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Artificial intelligence (AI);cyber-physical systems (CPS);digital-twin (DT);framework;oil and gas (O&G);industry revolution 4.0 (IR 4.0);industry 4.0 (I4.0);Internet of Things (IoT);simulation;upstream sector,,,,,,,,,,,,,,,,,,,,,,,,,
2022,The Fifth Generation (5G) Network;cyber security;cyber threat;supply chain security;telecommunication threats;eMBB;mMTC;URLLC,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Blockchain technology;execution integrity;Industry 4.0;production system;smart device,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,added value;administration shell;automation;cloud;control;digital twin;distributed systems;electric drives;information and communication technology;internet of things;process;reference architecture model;system;systems engineering,,,,,,,,,,,,,,,,,,,,,,,,,
2022,6G;CNOS;Cloud-Network;Operating System;Architecture;Cloud-Network Convergence,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Blockchain;Industry 5.0;Internet-of-Things;security;privacy,,,,,,,,,,,,,,,,,,,,,,,,,
2023,smart grid;energy efficiency;cybersecurity;digital twins,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Data driven and automation;Industry 4.0;Machine Learning;Quality control;data gathering and analytic,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Mobile Edge Computing;Vehicular Edge Computing;Deep Reinforcement Learning;Task Offloading;Digital Twins;Generative Adversarial Network,,,,,,,,,,,,,,,,,,,,,,,,,
2022,IoT;Prehabilitation;movement recognition;mixed-mode prehabilitation;Preoperative,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Ultra-low-power transmitter;spur suppression;self-aligned PLL;injection-locked TX,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Condition monitoring;induction motors;internet of things;finite element analysis,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Autonomous vehicles;Internet of Things;digital twins;deep learning;3D object detection;YOLOv3;lyft,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Fatigue life;IIoT;Augmented reality;Health indication;Predictive maintenance;Simulation in operation,,,,,,,,,,,,,,,,,,,,,,,,,
09-Oct-20,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9217734,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Duty cycle control;machine learning;object tracking;recurrent neural network;wireless sensor networks,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Industrial IoT;Networking;Factories of the Future;Interference Aware Transmission;Fourth Industrial Revolution,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Product Quality;Process Quality;Data Quality;Data Reliability;Blockchain;Virtual Sensors;Digital Twins;Process Simulation;Process Optimization;Zero-defect Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Data Quality;Data Reliability;Blockchain;Product Quality;Process Quality;Digital Twin;Process Simulation;Process Optimization;Zero-defect Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Smart Component;Industrial Sensor Cloud (ISC);Industrial Wireless Sensor Network (IWSN);Software Reconfiguration;Industrial Cyber Physical Systems(ICPS);Industrial Internet of Thing's (IIoT),,,,,,,,,,,,,,,,,,,,,,,,,
2022,Data handling;digital twin;heterogeneous networks;Internet of Things (IoT);navigation,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Radio Frequency Identification (RFID);Weight Sensing;Internet of Things (IoT);Blockchain;Data Visualization;Chemical Management;Digital Twin,,,,,,,,,,,,,,,,,,,,,,,,,
2019,smart factory;smart factory implementation;systematic literature review,,,,,,,,,,,,,,,,,,,,,,,,,
2017,infrastructure;underground;utility;network;geospatial;sensing;iot,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Metaverse;blockchain;Immersive Services;AI;XR;Autonomous Resource Management,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Spatial ETL;GeoSpatial Big-Data;Smart City;NiFi,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Wireless federated learning;device heterogeneity;adaptive batch sizes;gradient quantization;convergence analysis,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Aloha;finite block length region;low latency;maximum sum rate;short-packet,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Integrated sensing and communication;UAV swarm;target tracking;cyber-twin,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Fintech;financial services;finance sector;emerging technologies;artificial intelligence;innovation in fintech;financial inclusion,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Coating;lead-free;piezoelectric ceramic;structural health monitoring (SHM);thermal spray;ultrasonic transducer,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Multi-tier computing;Resource allocation;Task scheduling;Deep reinforcement learning;Federated learning,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,6G network;cell-free massive MIMO;distributed antenna systems;massive MIMO;user-centric,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,
